iter	Logloss
0	0.6922353766
1	0.6906765115
2	0.6892721156
3	0.6880330307
4	0.6864700713
5	0.6851630389
6	0.6834264662
7	0.6817617678
8	0.6803317253
9	0.6793370827
10	0.6780305501
11	0.6762530427
12	0.6748708105
13	0.673678372
14	0.6723022352
15	0.6716596161
16	0.6703846704
17	0.6689370708
18	0.6674776624
19	0.6660565353
20	0.6645402647
21	0.6631107941
22	0.662188934223	0.6610017506224	0.6597526807225	0.6586029891226	0.6574428287227	0.6559361274228	0.6544554358229	0.6532192489330	0.6517592443131	0.6504888693232	0.6493937733	33	0.6483800534	34	0.6469108035	35	0.6465209936	36	0.6449000437	37	0.6435271138	38	0.6423489139	39	0.6411417140	40	0.6397205241	41	0.6384853742	42	0.6372382543	43	0.6360283544	44	0.6349739445	45	0.633720446	046	0.632487047	047	0.631056848	048	0.629871349	049	0.628495050	050	0.627092951	051	0.626078952	052	0.624756653	053	0.623532254	054	0.6222364785
55	0.621994356	056	0.620630857	057	0.619362558	058	0.6182647088
59	0.6171534764
60	0.6160511467
61	0.6146807475
62	0.6145009663	0.613330829
64	0.6119247126
65	0.6106980978
66	0.610008701
67	0.6088804819
68	0.6078014767
69	0.6062978086
70	0.6053210551
71	0.6044526517
72	0.6033738688
73	0.6020676371
74	0.6006881119
75	0.599611043
76	0.598553673
77	0.5971299715
78	0.5957843903
79	0.5946291127
80	0.5934697473
81	0.5924245475
82	0.5911967537
83	0.5899367876
84	0.5886341899
85	0.58730111
86	0.5862552193
87	0.5851528828
88	0.5841628599
89	0.5829552142
90	0.5817515962
91	0.5804220267
92	0.5794789449
93	0.5789929117
94	0.5780811024
95	0.5769037785
96	0.5759010907
97	0.5747314081
98	0.5736318915
99	0.5726546456
100	0.5724557213
101	0.5714534455
102	0.5704446435
103	0.5693075271
104	0.5684439117
105	0.5673432616
106	0.5661587672
107	0.5650843568
108	0.5639704996
109	0.5628139181
110	0.561698951
111	0.5606456917
112	0.5595368787
113	0.5585069255
114	0.5574184927
115	0.5564465334
116	0.5556838989
117	0.5546302708
118	0.5534686554
119	0.5525627318
120	0.5520814502
121	0.5511154884
122	0.5499295279
123	0.548735522
124	0.5475872711
125	0.5466054375
126	0.5455189289
127	0.5445310358
128	0.543523891
129	0.542329662
130	0.5413219847
131	0.5401257046
132	0.5392160633
133	0.538063746
134	0.5379198224
135	0.5369290177
136	0.5358821367
137	0.5349938179
138	0.5340102011
139	0.5330274153
140	0.5319260108
141	0.5310707283
142	0.5301563916
143	0.5291486929
144	0.5280417204
145	0.5276498498
146	0.5268638806
147	0.5260240475
148	0.52504739
149	0.5239085195
150	0.522875101
151	0.5219336918
152	0.5213516601
153	0.5205815958
154	0.5196460724
155	0.5186675493
156	0.5178570248
157	0.5168075099
158	0.5158645916
159	0.5148616901
160	0.5137350016
161	0.5131566274
162	0.5122493369
163	0.5114661865
164	0.510416785
165	0.5094194329
166	0.5084754787
167	0.5075274541
168	0.5073717959
169	0.5065710243
170	0.505463278
171	0.5045517323
172	0.5035006037
173	0.502524364
174	0.5014526804
175	0.5002711585
176	0.4993842989
177	0.4985725819
178	0.4975854397
179	0.4967314358
180	0.4956801644
181	0.4947984394
182	0.4938534134
183	0.4929232205
184	0.4920247862
185	0.4909306157
186	0.48999597
187	0.4889079454
188	0.4880862567
189	0.4872113374
190	0.4862513049
191	0.485364062
192	0.4843640728
193	0.4834007672
194	0.4825198474
195	0.4817249624
196	0.4809296151
197	0.4802409464
198	0.4801644289
199	0.4795631428
200	0.4787971479
201	0.4780209874
202	0.4773781757
203	0.4765127383
204	0.4756541132
205	0.4747108205
206	0.4738515992
207	0.4729686941
208	0.4729294506
209	0.4720349956
210	0.4712728953
211	0.4705396854
212	0.4696762727
213	0.46879257
214	0.4685887849
215	0.4676806976
216	0.4666627453
217	0.4658825624
218	0.465615602
219	0.4648298538
220	0.464173987
221	0.4633770036
222	0.4626155464
223	0.4619064984
224	0.4612241348
225	0.4604285948
226	0.4593282411
227	0.4585200299
228	0.4577401584
229	0.4569886195
230	0.4564884898
231	0.4556810258
232	0.4548779414
233	0.4540610293
234	0.4533137394
235	0.4524830509
236	0.4517301139
237	0.4509232436
238	0.45009971
239	0.4494622078
240	0.4486825247
241	0.4479631772
242	0.4472185942
243	0.4465423788
244	0.445845095
245	0.4449257074
246	0.4442658828
247	0.4440991589
248	0.4433013998
249	0.4426234199
250	0.4424662673
251	0.4417327088
252	0.4409507359
253	0.4402645012
254	0.4394453327
255	0.4386879102
256	0.4378677278
257	0.4374047642
258	0.4365727911
259	0.4359208061
260	0.4350728128
261	0.4343518588
262	0.4336621854
263	0.4328559124
264	0.4320163969
265	0.4313826554
266	0.4307037164
267	0.4299891107
268	0.4299281707
269	0.4290710993
270	0.42828900572271	0.42770198827272	0.42705165273273	0.4266874221
274	0.4259151275	275	0.4251640647
276	0.4244527886
277	0.4237585407
278	0.4230522311
